,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
338,9875,0,81755,0,0,52861,0,82645,1
339,23251,0,71968,0,0,34118,0,97799,1
340,9374,0,73107,0,0,34382,0,110273,1
341,12809,0,74923,0,0,40386,0,99018,1
342,29855,0,63283,0,0,35666,0,98332,1
343,18782,0,74397,0,0,50679,0,83278,1
344,19867,0,84085,0,0,41076,0,82108,0
345,31854,0,64666,0,993,40785,0,88838,1
346,14866,0,81307,0,0,48776,0,82187,1
347,16236,0,77889,0,0,42326,0,90685,0
348,4616,0,63151,0,0,62640,0,96729,1
349,17937,0,67943,0,0,49658,0,91598,1
350,7436,0,79068,0,0,42509,0,98123,1
351,8934,0,75134,0,0,53159,0,89909,1
352,18612,0,74828,0,0,27745,0,105951,1
353,9005,0,75510,0,0,55285,0,87336,1
354,10081,0,67337,0,0,52065,0,97653,1
355,15866,0,71412,0,0,51498,0,88360,1
356,8576,0,69887,0,0,42452,0,106221,1
357,29369,0,86060,0,0,25641,0,86066,0
358,40792,0,66545,0,2,35201,0,84596,0
359,4842,0,81342,0,0,50185,0,90767,1
360,27830,0,68629,0,0,34564,0,96113,1
361,31754,0,66104,0,0,40978,0,88300,0
362,21604,0,66100,0,0,40691,0,98741,1
363,10144,0,80021,0,0,43743,0,93228,0
364,22549,0,62017,0,0,51304,0,91266,1
365,11735,0,74173,0,0,58269,0,82959,1
366,25798,0,68971,0,0,32441,0,99926,1
367,22323,0,63696,0,0,47590,0,93527,1
368,17064,0,52257,0,0,51551,0,106264,1
369,34836,0,78804,0,0,26059,0,87437,0
370,17909,0,49707,0,0,61699,0,97821,1
371,18652,0,68116,0,0,43030,0,97338,1
372,9092,0,66138,0,0,50209,0,101697,1
373,23379,0,80653,0,0,55073,0,68031,1
374,8556,0,67262,0,0,40915,0,110403,1
375,21273,0,43542,0,0,51520,0,110801,1
376,16904,0,45636,0,0,56629,0,107967,1
377,11109,0,54582,0,0,47404,0,114041,1
378,8352,0,65769,0,0,54599,0,98416,1
379,2628,0,86037,0,0,46608,0,91863,1
380,7134,0,68345,0,0,58272,0,93385,1
381,908,0,77074,0,0,51402,0,97752,1
382,10137,0,78314,0,0,46629,0,92056,1
383,32773,0,84293,0,0,19317,0,90753,0
384,9073,0,91258,0,0,37007,0,89798,0
385,6469,0,71608,0,0,53551,0,95508,1
386,26421,0,67101,0,0,46826,0,86788,1
387,22846,0,61464,0,0,49005,0,93821,1
388,15467,0,63072,0,0,39405,0,109192,1
389,16295,0,65290,0,0,48421,0,97130,1
390,19965,0,59953,0,0,41564,0,105654,1
391,15003,0,77494,0,0,41477,0,93162,0
392,9896,0,89261,0,0,51819,0,76160,1
393,18659,0,67459,0,0,49222,0,91796,1
394,20648,0,60781,0,0,50671,0,95036,1
395,15933,0,61912,0,0,57792,0,91499,1
396,7852,0,78007,0,0,52976,0,88301,1
397,10871,0,56828,0,0,62981,0,96456,1
398,27858,0,80974,0,0,23548,0,94756,1
399,23629,0,61838,0,0,45374,0,96295,1
400,20943,0,64705,0,0,49444,0,92044,1
401,16011,0,66570,0,0,46286,0,98269,1
402,22079,0,57980,0,33,47645,0,99399,1
403,28061,0,54743,0,0,50397,0,93935,1
404,24767,0,79906,0,756,42876,0,78831,1
405,7012,0,65814,0,0,34442,0,119868,1
406,12833,0,75693,0,0,50980,0,87630,1
407,15306,0,66390,0,0,43368,0,102072,1
408,27752,0,66249,0,4826,47241,0,81068,1
409,23252,0,96734,0,0,34746,0,72404,0
410,4924,0,79805,0,0,51464,0,90943,1
411,7726,0,85651,0,0,43116,0,90643,0
412,10395,0,72643,0,0,58332,0,85766,1
413,28502,0,58560,0,0,51576,0,88498,1
414,21817,0,55371,0,0,51285,0,98663,1
415,18200,0,76263,0,0,45892,0,86781,0
416,34064,0,65795,0,0,31628,0,95649,1
417,19679,0,62962,0,0,33493,0,111002,1
418,36411,0,46384,0,1346,57611,0,85384,1
419,49224,0,70353,0,0,27500,0,80059,0
420,11966,0,64709,0,0,46554,0,103907,1
421,28017,0,69421,0,0,46841,0,82857,1
422,21279,0,75764,0,0,38491,0,91602,0
423,38548,0,62159,0,0,36064,0,90365,0
424,4697,0,70798,0,0,53604,0,98037,1
425,6692,0,61511,0,0,56089,0,102844,1
426,15042,0,61204,0,0,69406,0,81484,1
427,5569,0,64684,0,0,48250,0,108633,1
428,18806,0,80716,0,0,43453,0,84161,0
429,26048,0,70708,0,0,35292,0,95088,1
430,10449,0,88969,0,0,32973,0,94745,1
431,25463,0,68365,0,0,45134,0,88174,0
432,12258,0,59911,0,0,57016,0,97951,1
433,7497,0,62631,0,0,59429,0,97579,1
434,11663,0,56375,0,0,59397,0,99701,1
435,12485,0,74789,0,0,41931,0,97931,1
436,12715,0,79278,0,0,42760,0,92383,0
437,3781,0,56361,0,0,77099,0,89895,1
438,16166,0,73980,0,0,43130,0,93860,1
439,33207,0,57508,0,0,33092,0,103329,1
440,15304,0,53102,0,0,57469,0,101261,1
441,24824,0,52230,0,1625,57142,0,91315,1
442,49931,0,48385,0,2665,42280,0,83875,1
443,37279,0,77733,0,252,26267,0,85605,1
444,14071,0,78665,0,0,45948,0,88452,0
445,52545,0,54577,0,0,36241,0,83773,0
446,20949,0,66696,0,174,48386,0,90931,1
447,22593,0,66879,0,0,46532,0,91132,1
448,10455,0,77047,0,0,45101,0,94533,1
449,12642,0,76718,0,0,58305,0,79471,1
450,19102,0,50395,0,0,44146,0,113493,1
451,11249,0,58839,0,0,67724,0,89324,1
452,12151,0,72677,0,0,52571,0,89737,1
453,13719,0,60466,0,0,55949,0,97002,1
454,9756,0,58304,0,0,67130,0,91946,1
455,28144,0,68320,0,0,31385,0,99287,1
456,29815,0,83836,0,0,32347,0,81138,0
457,6580,0,49059,0,0,57868,0,113629,1
458,7648,0,62642,0,0,50186,0,106660,1
459,41908,0,49327,0,2234,48064,0,85603,1
460,20823,0,70300,0,0,55461,0,80552,1
461,19753,0,79707,0,0,47399,0,80277,1
462,18762,0,71838,0,0,43767,0,92769,0
463,8004,0,59724,0,0,48555,0,110853,1
464,30378,0,77081,0,0,38616,0,81061,0
465,13897,0,54501,0,0,56972,0,101766,1
466,46619,0,52899,0,1401,51035,0,75182,1
467,14785,0,79878,0,0,43479,0,88994,0
468,9550,0,63536,0,0,69477,0,84573,1
469,49878,0,46068,0,7821,47796,0,75573,1
470,15838,0,67387,0,0,36664,0,107247,1
471,19662,0,67360,0,0,59474,0,80640,1
472,39917,0,55344,0,83,42142,0,89650,0
473,30774,0,74379,0,0,33426,0,88557,0
474,14590,0,64412,0,0,49993,0,98141,1
475,22223,0,76303,0,0,22718,0,105892,1
