,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
297,24.0,0.0,22.07,0.0,1.16,20.75,0.0,32.02
298,4.04,0.0,27.0,0.0,0.0,25.6,0.0,43.36
299,7.81,0.0,28.12,0.0,0.0,20.87,0.0,43.2
300,3.62,0.0,29.95,0.0,0.0,27.98,0.0,38.45
301,26.0,0.0,17.08,0.0,3.53,17.85,0.0,35.54
302,8.37,0.0,19.34,0.0,0.0,23.68,0.0,48.62
303,11.48,0.0,30.52,0.0,0.0,16.77,0.0,41.23
304,3.66,0.0,27.13,0.0,0.0,16.39,0.0,52.82
305,4.63,0.0,26.2,0.0,0.0,24.07,0.0,45.09
306,20.74,0.0,32.9,0.0,0.0,12.04,0.0,34.33
307,7.7,0.0,36.62,0.0,0.0,20.48,0.0,35.2
308,8.43,0.0,25.64,0.0,0.0,20.59,0.0,45.35
309,5.48,0.0,40.2,0.0,0.0,17.59,0.0,36.73
310,5.9,0.0,31.7,0.0,0.0,22.51,0.0,39.88
311,18.59,0.0,21.11,0.0,3.42,18.77,0.0,38.1
312,6.08,0.0,35.66,0.0,0.0,21.34,0.0,36.92
313,8.87,0.0,29.73,0.0,0.0,15.52,0.0,45.87
314,6.07,0.0,29.3,0.0,0.0,24.48,0.0,40.15
315,4.79,0.0,20.48,0.0,0.0,24.36,0.0,50.37
316,8.1,0.0,32.89,0.0,0.0,19.55,0.0,39.46
317,2.4,0.0,18.53,0.0,0.0,27.47,0.0,51.61
318,8.6,0.0,23.34,0.0,0.0,23.68,0.0,44.38
319,6.94,0.0,33.9,0.0,0.0,20.22,0.0,38.94
320,6.86,0.0,32.0,0.0,0.0,18.42,0.0,42.72
321,6.29,0.0,21.88,0.0,0.0,32.29,0.0,39.54
322,11.48,0.0,26.37,0.0,0.0,19.11,0.0,43.04
323,23.22,0.0,13.2,0.0,3.06,35.47,0.0,25.06
324,10.59,0.0,31.09,0.0,0.0,18.53,0.0,39.79
325,3.68,0.0,30.23,0.0,0.0,27.07,0.0,39.02
326,6.32,0.0,19.47,0.0,0.03,24.2,0.0,49.98
327,11.59,0.0,35.93,0.0,0.0,12.78,0.0,39.7
328,4.85,0.0,33.5,0.0,0.0,21.4,0.0,40.25
329,5.17,0.0,34.73,0.0,0.0,22.65,0.0,37.45
330,9.37,0.0,36.58,0.0,0.0,19.92,0.0,34.13
331,18.48,0.0,25.35,0.0,0.0,16.97,0.0,39.2
332,5.44,0.0,30.09,0.0,0.0,22.17,0.0,42.3
333,6.61,0.0,32.85,0.0,0.0,20.33,0.0,40.22
334,10.33,0.0,31.29,0.0,0.0,19.67,0.0,38.71
335,9.84,0.0,27.27,0.0,0.0,19.1,0.0,43.79
336,14.52,0.0,28.79,0.0,0.0,18.26,0.0,38.42
337,8.59,0.0,27.63,0.0,0.0,22.21,0.0,41.57
338,4.35,0.0,35.99,0.0,0.0,23.27,0.0,36.39
339,10.24,0.0,31.68,0.0,0.0,15.02,0.0,43.06
340,4.13,0.0,32.19,0.0,0.0,15.14,0.0,48.55
341,5.64,0.0,32.99,0.0,0.0,17.78,0.0,43.59
342,13.14,0.0,27.86,0.0,0.0,15.7,0.0,43.29
